Patient,NFYA,MTREX,HSPA5,HERPUD1,ALDH18A1,PDIA5,MTHFD2,WIPI1,EXOSC5,CNOT4,NOP14,KHSRP,FUS,KDELR3,ARFGAP1,DNAJC3,SLC7A5,POP4,FKBP14,GOSR2,CCL2,WFS1,EXOC2,VEGFA,HSPA9,CNOT6,TARS,STC2,RRP9,EIF4G1,SPCS1,SLC1A4,ZBTB17,ATF6,SERP1,NFYB,EXOSC9,SSR1,DNAJB9,CHAC1,SPCS3,LSM4,EXOSC2,DKC1,EIF2S1,EDEM1,PSAT1,TUBB2A,PREB,SEC31A,DNAJA4,SEC11A,PARN,EIF4A3,PDIA6,SRPRB,SLC30A5,NHP2,IGFBP1,HYOU1,EIF4E,BAG3,CEBPG,CXXC1,EIF4A2,TATDN2,ATP6V0D1,SHC1,ATF3,RPS14,YWHAZ,NOLC1,HSP90B1,EEF2,DDIT4,KIF5B,EXOSC10,EIF2AK3,CEBPB,DCP2,NABP1,YIF1A,LSM1,BANF1,IMP3,DDX10,ERN1,EXOSC4,CALR,GEMIN4,NPM1,SRPRA,TSPYL2,IFIT1,EIF4EBP1,H2AFX,IARS,ERO1A,SDAD1,TTC37,DCTN1,DCP1A,Status
GSM1859090,7.683935154684111,10.3375452597631,11.9365337372474,11.8814030698319,7.129587990754059,6.686865496024411,9.7009481093806,9.10395428317631,7.03973576671197,5.8970187085499095,10.2459149965696,9.052931716003359,9.92206736820992,4.05848800986591,7.975570201823209,8.889675121235948,8.76523663271425,10.618403927261301,3.9998215263338,8.22466368252026,5.30263608673223,8.06051385815315,9.42419830535174,7.398726101206571,10.879382358983,11.492086892171098,10.948875660498901,4.490719964607321,7.34790867901531,9.33191612450994,12.2372149648599,9.249269958203689,7.85328015126199,9.02639775648092,11.477617805645199,7.96745046619417,10.9853585695549,11.829277519854,8.47115149309355,5.26137274911317,11.969278457995602,11.4951557158832,4.3324731227895,9.89044531440336,10.4329735035471,11.117877543887,5.06052265195688,9.39466342862741,9.98968781080506,11.120614136094801,5.823306431231019,11.852831993051801,9.28561135599706,11.187110012280801,10.098388791437,10.287547904257599,9.20648552981341,10.5338409329612,2.17407198900026,8.47577683996315,7.67641696812777,7.54175474740081,9.69025917128491,7.912208296121451,12.353597344013,10.6117983074485,10.885153322090499,11.298862812982302,6.58197105201962,3.9788791057378594,8.57937909923093,11.4971469435309,9.29549182497061,12.2720647770103,11.803402498763301,7.195048151530121,10.5406204200643,8.16972407342235,12.748973125763301,11.5605087422419,7.734610090199231,8.50732351985984,10.294546225323801,10.856721642579698,10.7077870472717,7.99865943767468,5.27345232705139,7.37130985211197,9.63206666599092,6.89809929509783,10.360191811680199,11.5674565340615,8.81284625126764,9.857108036894788,8.21878579353047,5.60542550645294,10.984597964158098,10.0978876358648,10.9761492154366,9.69188841284211,8.827310498393038,10.5143779561956,0
GSM1859086,7.39820114242296,9.4235929521306,11.474934888849,11.7469531336928,6.52527132056087,6.66448959804154,8.928357046559462,9.00726808596924,6.94712866134646,5.522598873693481,10.2687966526919,9.07507172937468,9.82540808890704,4.02027773418833,8.49920322752358,8.93540064308863,9.29648981973459,10.5342868215291,3.56708171963089,7.48108585130954,5.5818301276933004,8.44231012487577,8.93199560922893,7.331777028925639,10.3287164904165,10.913247230007,10.382212133235699,4.68488025626738,7.4230725543335305,9.35555846461273,12.379867077702501,8.77551196731271,8.35727855430387,9.41374474103682,11.691779710237501,5.756813659234231,10.882794379869402,11.2513716719537,7.142384309237679,6.0957764993153605,12.2313642250771,11.759966638875301,5.26758528150554,9.327048196065961,10.042145985072802,10.8119055009709,4.95636404005132,7.19420273823001,10.390812955128501,10.6857526940962,6.2622014661045995,11.260936085720902,8.809049972690302,11.244376019233401,9.504061083275829,10.456336802861099,9.91505890103001,10.776494188271501,2.3092048418735898,8.32558990913643,7.06518846496918,7.45017762124702,9.32653838404099,8.621004752039731,11.9461174847761,10.3910066566771,11.388038928406,11.6083622121927,5.13514832679067,4.177652121448141,8.45719157340425,11.007870476186,9.140194120703109,12.9160675949056,11.6672513880863,5.6259952836099005,10.571470474518,7.30600899650892,12.7236211346296,11.431352862667902,7.56659091399762,8.63748472848265,9.47591147497209,10.707186217905,10.705690779733802,7.12469743965055,5.5361694393643,7.87583014087343,10.4541873750252,6.804939826265549,9.64417336666876,11.8202395992117,9.753916425195051,8.54594534228996,8.904850839893449,6.713247068903531,10.5432611229599,10.0621826091301,10.358971112077699,9.30721003935214,9.551775778315118,10.437990897479802,1
GSM1859100,7.5625068607055095,9.41058367525213,11.8187589862151,12.235574649116499,6.96108867895599,6.86698629687013,9.05860757466041,9.31621996921717,6.970566923603231,6.165650036701901,9.929556377779921,9.67221520435675,9.81372431395902,3.9280522535677798,8.12596757003589,8.331675163227299,8.612757753622969,10.282597526678598,3.34191861701367,8.05261299786735,6.18367140853639,7.95034464733466,8.73416352873481,7.995492277039349,10.817396197787199,11.6608738911042,10.564160631575401,4.6433068639087,7.13804413563934,9.5715058843886,12.591752356899299,8.99535102636456,8.05207497517307,8.93440055291339,11.550299966599699,5.859739983799059,10.790129951837098,12.135478792734599,7.92787717780962,5.719029112557799,12.2536355943752,11.5731293732499,4.52653597970418,9.11885155046164,9.66694575011525,11.2288104381316,4.872542744438451,9.63026459490864,9.82354059345675,11.250201035652301,6.20869635729382,11.3775730846349,8.87963355349348,11.433797002444802,10.1386961403651,9.98661311750767,10.1288670151581,10.591595163203198,2.27324701490984,8.27896031263037,7.465382360923799,7.4607659809448705,9.21563533177285,7.92697691129101,12.2216108246574,10.4183384476917,11.3800687973424,11.246080002625101,6.13616838380682,4.0519408740267595,8.66638374896695,11.265926303239,9.05812704744123,12.7754075267222,12.309583716687902,6.673152113402019,10.6096769229337,7.83278135134835,12.521788188587198,11.8141342689068,7.272489513006049,8.53242593814274,9.24109394643768,10.8466323262365,10.5574765857045,7.0311236139247,5.63091615354121,7.4240000449290005,10.488524344962801,6.52473399433722,9.2249157037574,11.9209773724087,9.247903594693438,9.99548243553795,8.4824043627214,5.967732519286799,10.998255610137901,10.2440378750872,10.4963343915316,9.90866124237169,8.990685842810539,10.7865104046965,1
GSM1859097,7.80720095994965,10.4160479852079,11.9337385537761,12.12205833602,7.03433830490324,6.97436364884601,9.78793089424668,8.40891495373653,7.35426627388182,6.04655147269145,9.85383467771256,9.39045182428341,10.301934757164402,4.23893340788796,8.24739969813406,9.12490379350119,8.941992498716619,10.3586884876513,3.8356407988537202,8.143991785297331,5.965862952093411,8.26077141229138,9.26215126442518,7.5710150040676,11.2048048150474,11.1660481166676,10.893480287270998,4.20992298009668,7.56963319705822,9.444590528479038,12.557975057356401,8.223813943733571,8.056869613982169,9.330167876719349,11.9070322396303,7.883868149210839,10.938967448352999,11.859009033669901,8.39762037709159,5.23177229446967,11.541969487335802,11.7344225051172,4.57163475688307,10.040777614315301,10.446187280622901,10.8469400445571,5.23177229446967,7.1568571930074505,9.837148278767751,11.1607735531079,5.969356074215259,12.053120225882198,8.864377827332211,11.4058554394704,10.2396885394978,10.4229375909108,9.13150769861289,11.3976236790699,2.66481401526693,8.23950708270729,7.69376683699116,7.9591350355636505,9.91654131613793,8.33674222219398,12.430868354292901,10.771621797134399,11.1516605750871,10.853748627481599,5.22191077636535,4.30985350398428,7.8768893100413395,11.5735532049298,9.55185448134514,12.7275936985992,12.2310439438132,6.768618836496639,10.5821022135359,8.19992084308331,12.7369160111377,11.4056126384594,6.95321772095651,9.071311021444242,10.4508100461067,11.0346664467941,11.058796287375,7.760097221295901,5.15829148934774,7.6028555070164,9.58229661199453,7.3124196735302105,10.5170016048988,11.6412075215809,9.26378356583389,10.280551118358199,9.01827650461249,6.18512338681908,11.278325043951302,10.1706250386301,10.8946117104088,9.81649156560099,8.96764334865558,10.5630654415076,0
GSM1859114,7.27129104104445,10.0452151109245,12.0495572468732,11.724629056332901,6.677167463280161,6.76461757710535,9.562365053532151,8.973295469696911,6.964385625428751,5.6971387224806,10.4051240956646,9.604268500677769,9.65738895121126,4.16443993287148,8.24395415218447,8.6342741963886,9.07518396901073,10.5992608787939,3.7485920313494105,7.87339072633723,5.76215325220706,8.0470188195337,9.25164988227849,7.10179952530852,10.778359527300902,11.5149729965893,10.5720858763949,4.549447346607759,7.2150185059527505,9.33107320523214,12.5187554720478,9.048001346767212,7.902711419072981,9.424848647901891,11.589759133292,6.89158873970182,10.879474336994901,12.000680511556899,8.28860594069074,5.02558743685555,12.3051041950738,11.363352466139998,4.47123677307818,8.50914931039114,10.2989748867758,10.730433010201,5.09796031233805,7.61708650828987,9.84643826825455,11.04675003768,5.87808027787325,11.7306342429576,9.087833389254211,11.275185181160701,9.932776055498769,10.2527802643004,9.877699891634029,10.571866226327302,2.3561260333021403,8.189448431422349,8.10853983145669,7.80667860177248,9.51701337180034,7.985168100428821,12.2973994203036,10.689179566990301,11.278823363394102,11.166044838453901,6.61670160194325,3.75944935223827,8.9355640282776,11.616607154969802,8.95829210182102,12.657954179523001,12.334899019113,6.93127638356019,10.5375354332786,8.034900952022388,12.942578603932299,11.703769516537301,7.97878389968567,8.56867269180099,9.99186122398097,10.970386079725099,10.4743588372312,7.63656007797413,5.172133759682611,7.26171160127907,9.71617586835936,6.679051468475549,10.4746102787048,11.494931510749499,9.00046262115625,11.270240758185501,8.40024741433179,5.9539294965232505,11.283323068287698,10.559708992163,10.6716016976847,9.95271760860787,8.89949336116969,10.7031507147817,1
GSM1859121,7.53726643631338,10.0856748595202,11.7728434273,11.9696367087429,6.409909290121781,7.20017255729586,9.748326491552449,9.12180188900061,7.17717342842857,6.570367226221,9.975653429909778,9.67530211179681,9.96246697942242,4.46460550640091,8.19085807000708,9.12876670978915,9.0795583319828,10.5598804837571,3.3641828317964797,8.01071192604034,5.47770778685848,8.14951682574581,9.213255466389619,7.3710461153138604,10.7253079933891,11.278015987535698,10.9100648142547,4.31359553772048,7.52902075229591,9.7334254625178,12.548438208627,8.904946694969,7.939109783248591,9.27614054082437,12.029140876101101,7.66195777097584,10.7832341053589,11.923369491714098,8.17777212793905,4.90877255471717,12.062754651998501,11.7748935763499,4.580215122085151,9.9056362669702,10.2607256267353,10.5708487473493,4.75899675568106,7.0212365438567605,9.74411587959545,11.141578837139,6.06133248347076,12.107484612852499,8.93051337733893,11.4046010439399,10.5833641843453,9.915520752661962,9.36743175233925,11.0240124993469,3.06985904236219,8.31249661686429,7.49849267152714,7.6066671123096,10.3157964806103,8.373241359754049,12.319249727070101,10.4459969963948,11.6607204009477,10.965932571689999,6.04361313589214,3.9884743054055094,8.28544694924778,11.0103264512755,9.50512382472158,13.013591063278598,11.859481451226802,6.93053128146562,10.3951302902671,7.7636479934451295,12.9953307422239,11.620414599553499,7.7046534058308,9.031317235280419,10.3927867402491,11.2442607230791,10.766039501519,7.324945730548429,5.12918067616475,7.521393009245241,9.60315850012532,6.66134120455385,10.1004076529797,11.587624825159098,9.14394501526679,8.54163118784877,9.60769041069381,6.04401126696887,11.054971073859301,10.0135010699783,10.794174736617698,9.79414688983675,9.21600543823242,10.6654306389084,1
GSM1859135,7.545655428617231,10.0556318490215,12.136298806416098,12.037529434832699,6.74987973694726,6.6011686527806,9.62920850154372,9.360340408727131,6.88026553276819,6.062215522039911,9.57534078105016,9.327280597087599,9.940407155656741,3.6135651824568398,8.247282921225361,8.748499201148901,9.64776208521331,10.110057460238698,3.7429585544595803,8.09812025493886,6.01202056302334,7.72465178994545,9.21871862331306,7.48285758312055,10.868076863311998,11.501415538713601,10.819106601016099,4.41064470242071,7.10611908313496,9.50792378716882,12.513957501129699,8.762841274061,7.596971503644269,9.000124999915359,11.643086826922,7.6718953985418095,10.344717541526698,12.0511655958855,8.341906607064951,4.55701139326703,12.203412724098802,11.5569466252546,4.54622861963935,9.13275164108041,9.5936439512109,11.1818159553584,5.127705522003951,11.1857520131442,9.611574770630849,11.430048724548199,5.69888243619656,11.8525514635093,8.71596622034009,11.162728123055198,10.1704310030711,9.743668693854552,9.45434185200058,10.5628301150721,2.4785626015065403,8.72125958000636,7.77279963054241,7.763689297638741,9.49833217357032,8.04081780464543,12.4415207755351,10.4738969504237,11.504365001938,10.850173881853399,5.477525246374491,4.07690661039115,8.27998539331592,11.1367099521143,9.44476517235306,13.0080880663921,11.9796866687865,7.07483768480477,10.3322657379671,8.647448325176999,12.9824157406329,11.8051168426356,7.669769559776701,8.70961215007573,10.2890813139087,10.7828745658795,10.5164261453232,7.128488776038929,5.0699042654310995,7.166726924333769,9.72429357690551,6.926763373403231,9.555166110649882,11.800958330831802,8.782577409751621,9.23558638412386,8.658746000204951,5.9703606521492505,11.237106495019601,9.69545821728451,10.514022132350698,10.120273806154,9.20526881785743,10.7369893018811,1
GSM1859113,7.2700533355971695,8.64607881891483,11.4123928704577,11.6197287249858,6.26993380002566,6.93324935191774,8.24496896775207,9.08433993925906,7.791848418991621,6.521731467922421,10.4479896366801,9.49103285194366,9.63502604163167,2.7513970842224102,8.99988494910249,8.5030067854408,9.826668481472991,10.6919503010979,3.65898001080109,8.48529015832821,6.20305487703703,8.15209145715833,8.33062806721084,6.77247037438095,9.9403515322099,10.1259898068293,10.0968820552386,4.83194013110709,8.16383324647285,9.95870843215794,12.7729606245624,8.883405551645131,8.574097696143,9.38468746281084,12.071659206627901,4.21577211895821,10.4152581521219,10.461479239769801,6.858123659315409,4.93066069348907,12.1404544546318,11.7948329339581,4.6935971244864,9.555547382812481,10.2900772042004,9.80080369804767,4.65210227674953,8.83083066798049,10.3656414187907,10.827914190569599,5.85389863068038,10.6811388199287,8.36829046159074,11.412220166136802,9.450739033482199,10.132923700568401,9.96678531861577,11.3025915012737,2.3966783922074,8.452526641845031,5.66471934579522,7.701571697221,9.59397338955042,9.30620050917917,11.6595518568741,10.555024081998098,11.9250588016361,11.4681041484728,5.677206390917309,4.08428627042055,8.1700640839165,10.6164703871325,9.1063830824677,13.189468634151199,12.186035464972,6.789657017591809,10.662306784403,6.73684821345358,12.899529705789599,10.4348656168851,5.429774706611821,9.82200117955074,9.384665269545382,11.310414560782199,10.9427943991943,7.159552528754981,5.33594879238275,8.39676517439735,10.514327430928098,7.29097250760338,10.242458413104199,11.874487405460501,10.0341669588393,9.184228902930789,9.804657089945358,6.46192695400708,10.4380029350981,9.48731322808278,9.67296410900514,8.98696008692225,10.0442664800771,10.7869378492639,0
GSM1859128,7.878850518412559,9.41251785789558,12.2424239427423,12.203102365191901,6.4447987822818895,7.1612545222693305,9.16951624326316,9.40602691139036,7.13630372046183,6.41970685927058,9.354928254067119,9.68417086053498,10.4190359785254,4.10263014664534,8.52961303518082,9.22928679899902,9.521660636321439,10.1554177728465,3.7730439997559904,8.1082593682325,6.5870752852725305,7.79128143123505,8.94797382307028,7.7774771555412805,10.8901984137659,10.9468335998985,10.7030528819312,4.92944482274934,7.293529106681929,9.827471653021892,12.665172071695,8.06480355541646,8.03908587841919,9.86166122176138,11.8430806096035,6.32893746397429,10.2555495488995,11.8802662772332,7.71001029629937,4.64868308580485,11.890000249255,11.4545625019405,4.7739190359557995,10.075433553295198,9.60334574127516,11.009716965966302,5.257569688055259,7.852968747278741,9.78527597442132,11.425609387448599,6.1366871028061,11.3370945062584,9.05803013659451,11.5633287772475,10.0783088699455,9.5616290598365,9.56669890444978,10.782448601770598,2.4922433234094705,8.23208233823126,6.45678611555898,8.188368297992751,9.212959798821089,8.39160192363871,12.0892121448543,10.6782813529732,11.979302396013598,10.895318052683699,6.7733617677175495,3.79636442864456,7.95521804762423,10.9143588701786,9.348145328598859,13.0040670834505,12.282425806355699,6.85712910212891,10.493803261791099,7.84203421776738,13.2695748524357,11.0718022670186,7.818186973422001,9.05065915112214,9.50253244888038,11.479954077321999,10.8409261043891,7.373526627758559,5.28390752252097,7.37544373324703,9.20662859928505,7.00963903619011,8.984981166006131,11.688381444445698,8.95505755192474,10.9254190027654,9.4653971589317,6.01851684329641,10.8369071067905,9.77958418895697,10.4179502956276,9.316477399810891,9.27930049256655,11.1679359070661,1
GSM1859131,7.56908214572314,10.003631096344,12.1734275665359,12.1937637664244,6.6979041584413,6.8672238717492595,9.730109941161311,9.252183840442301,6.8917469367595805,6.26944686748232,9.49693934422188,9.54226322763133,10.119072741312,4.094704156842029,8.25319135382634,8.986323576489369,9.464175161862698,10.2475414817505,4.09250620066859,8.13773950615711,6.199834698030571,7.88961118624331,9.2219367287459,7.90437025603622,11.1084357256689,11.376366277004001,10.9054545911714,4.32162737593655,7.397104214850839,10.137647993859401,12.6189135156845,8.73590113089677,7.86646145245292,9.787726893525528,11.8430407030831,7.47931094753264,10.598993526421,12.0822246659501,8.472782251918941,4.890475061081919,11.9782568203549,11.535318437146199,4.359950523507741,10.1525165321776,9.9555877293613,10.833533221345,5.607034735577531,7.200641870791429,9.674057841488821,11.327074623910699,5.940457839901309,11.8508922538171,9.13684000761858,11.4527308324395,10.4027623271409,9.93157604321581,9.41219270362884,10.895377870223301,2.40278238543849,8.50365932889635,7.694960172420401,8.15412547432709,9.677167303328812,8.154306261931799,12.4527379936953,10.4798168289372,11.6952588964499,10.8982244550647,6.2379149703006505,3.7065629975600802,8.07890500578145,11.2683692859325,9.34104679445017,12.900145385488601,12.5805967639352,7.31592592281798,10.4559348475749,8.19565157116118,13.1717285530547,11.5648588639586,7.4951351798028,9.02018588927524,10.2315286587048,11.372152403524801,10.990692770854302,7.38862515092492,5.19643330798247,7.352417019440969,9.8385417532305,6.87140631514723,9.673057306698551,11.6637754844951,8.70104408686191,8.92442613960924,9.1367527930984,5.77762601078971,11.1101799473479,10.268313830577199,10.820643778755,9.763507139710919,9.1617720339315,10.636930652894401,1
